Title,DOI,relevance_score,is_data_available,is_model_used,is_dataset_public,dataset_link,citation_count,disease_focus,location_focus,keywords,models,discussion_recommendation
Gaps in mobility data and implications for modelling epidemic spread: A scoping review and simulation study,10.1016/j.epidem.2023.100666,8.0,,,no,not mentioned,9.0,not specified,Africa,"['human mobility', 'epidemic spread', 'mobility data gaps']",[],"Yes, this paper should be included as it critically evaluates the availability and implications of mobility data in modeling infectious diseases, which is essential for accurate predictions and effective control measures."
Global Change and Emerging Infectious Diseases,10.1146/annurev-resource-111820-024214,,,,,,,,,,,
"Resource selection by New York City deer reveals the effective interface between wildlife, zoonotic hazards and humans",10.1111/ele.14326,7.0,,,no,not mentioned,1.0,Lyme disease,New York City,"['deer movement', 'Lyme disease', 'resource selection']","['multi-scale hierarchical resource selection analysis', 'movement modelling']","Yes, this paper should be included because it provides specific insights into how the mobility of an animal host (deer) influences the spread of a vector-borne disease (Lyme disease) within a densely populated urban area, showing the intersection between wildlife movement, zoonotic disease risk, and human habitats."
High connectivity and human movement limits the impact of travel time on infectious disease transmission,10.1098/rsif.2023.0425,,,,,,,,,,,
Numerical study of transient indoor airflow and virus-laden droplet dispersion: Impact of interactive human movement,10.1016/j.scitotenv.2023.161750,8.0,,,no,not mentioned,15.0,not specified,indoor environments,"['indoor airflow', 'virus-laden droplet dispersion', 'human movement']","['numerical method', 'dynamic mesh method']","Yes, this paper should be included because it brings valuable insights into the dynamics of virus transmission influenced by human movement within indoor settings, which is crucial for understanding and mitigating airborne infectious diseases."
Analysing livestock network data for infectious disease control: an argument for routine data collection in emerging economies,10.1098/rstb.2018.0264,,,,,,,,,,,
Monitoring the Spatial Spread of COVID-19 and Effectiveness of Control Measures Through Human Movement Data: Proposal for a Predictive Model Using Big Data Analytics,10.2196/24432,10.0,,,no,not mentioned,29.0,COVID-19,global,"['human movement', 'spatial spread', 'big data analytics']","['predictive models', 'data models', 'computing algorithms']","Yes, this paper should be included because it thoroughly explores the dynamics of human mobility data from multiple sources in relation to controlling and predicting the spatial spread of COVID-19, directly aligning with the core topics of human mobility and infectious diseases."
Effect of human movement on airborne disease transmission in an airplane cabin: study using numerical modeling and quantitative risk analysis,10.1186/1471-2334-14-434,8.0,,,no,not provided,49.0,SARS,airplane cabin,"['airborne transmission', 'human movement', 'risk assessment']","['Eulerian-Lagrangian approach', 'dose-response model', 'likelihood analysis']","Yes, this paper should be included in the discussion because it provides a detailed study on the impact of human movement on disease transmission in confined spaces, using an airplane cabin as a case study, which is directly relevant to the topic of human mobility and infectious diseases."
Utilizing general human movement models to predict the spread of emerging infectious diseases in resource poor settings,10.1038/s41598-019-41192-3,,,,,,,,,,,
Study on the interzonal migration of airborne infectious particles in an isolation ward using benign bacteria,10.1111/j.1600-0668.2012.00797.x,,,,,,,,,,,
Impacts of climate change-related human migration on infectious diseases,10.1038/s41558-024-02078-z,8.0,,,no,not mentioned,1.0,not specified,global,"['climate change', 'human migration', 'infectious diseases']",[],"Yes, this paper should be included because it explores the significant interplay between human migration driven by climate change and its impact on the spread and burden of infectious diseases globally."
A network evaluation of human and animal movement data across multiple swine farm systems in North America,10.1016/j.prevetmed.2024.106370,,,,,,,,,,,
Emerging infectious diseases in wildlife,10.20506/rst.21.1.1327,,,,,,,,,,,
Connecting Mobility to Infectious Diseases: The Promise and Limits of Mobile Phone Data,10.1093/infdis/jiw273,,,,,,,,,,,
Human Mobility and Droplet-Transmissible Pediatric Infectious Diseases during the COVID-19 Pandemic,10.3390/ijerph19116941,10.0,,,yes,"Publicly available datasets: surveillance on infectious diseases (collected by the Japanese government), COVID-19 community mobility reports (presented by Google)",4.0,"droplet-transmissible pediatric infectious diseases, including pharyngoconjunctival fever, group A streptococcal pharyngitis, hand-foot-and-mouth disease, respiratory syncytial virus infection",Japan,"['human mobility', 'pediatric infectious diseases', 'COVID-19']",['Pearson correlation analysis'],"Yes, this paper should be included in a discussion paper about human mobility and infectious diseases because it provides clear quantifiable impacts of changes in human mobility on the spread and reduction of pediatric infectious diseases during the pandemic, using robust data sources and analytical methods."
A MULTIPATCH MALARIA MODEL WITH LOGISTIC GROWTH POPULATIONS,10.1137/110850761,8.0,,,no,not mentioned,85.0,malaria,global,"['multipatch model', 'malaria', 'population dispersal']",['multipatch model'],"Yes, this paper should be included as it provides a detailed analysis of how human mobility affects the spread of malaria through a mathematical model, which is highly relevant to discussions on the intersection between human mobility and infectious diseases."
A cholera model in a patchy environment with water and human movement,10.1016/j.mbs.2013.08.003,8.0,,,no,not mentioned,89.0,cholera,global,"['cholera', 'mathematical model', 'human movement']","[""Kirchhoff's Matrix Tree Theorem"", 'mathematical model']","Yes, this paper should be included because it significantly contributes to understanding the dynamics of cholera transmission in relation to human and water movement using advanced mathematical models. The evaluation of control strategies through the reproduction numbers derived also adds value to discussions on intervention strategies in managing infectious diseases."
Video Anthology of Movement Disorders Due to Infections in South Asia,10.1002/mdc3.13275,,,,,,,,,,,
Infectious disease surveillance in animal movement networks: An approach based on the friendship paradox,10.1016/j.prevetmed.2015.08.002,,,,,,,,,,,
A human behavior integrated hierarchical model of airborne disease transmission in a large city,10.1016/j.buildenv.2017.11.011,9.0,,,no,not mentioned,39.0,smallpox,Hong Kong,"['human behavior model', 'airborne disease transmission', 'public health']","['SIR model', 'Wells-Riley equation', 'HiHi model']","Yes, this paper should be included because it provides a detailed and localized study of how human mobility in large cities can affect the transmission of airborne diseases, using sophisticated modeling techniques."
Climate forcing and infectious disease transmission in urban landscapes: integrating demographic and socioeconomic heterogeneity,10.1111/nyas.13229,8.0,,,no,not mentioned,12.0,not specified,global,"['urbanization', 'climate change', 'infectious diseases']",[],"Yes, this paper should be included as it presents a comprehensive review on how environmental and socioeconomic factors affect infectious disease dynamics in urban settings. Although it does not specifically mention human mobility models or datasets, the intersections it explores are crucial for understanding broad patterns in infectious disease spread, which is relevant to discussions on human mobility."
Controlling infectious disease through the targeted manipulation of contact network structure,10.1016/j.epidem.2015.02.008,,,,,,,,,,,
Effect of daily human movement on some characteristics of dengue dynamics,10.1016/j.mbs.2020.108531,9.0,,,no,not mentioned,5.0,dengue,global,"['human movement', 'dengue dynamics', 'ordinary differential equations']",['system of ordinary differential equations'],"Yes, this paper should be included as it provides a significant analysis on how human movement influences the dynamics of dengue, employing a mathematical model which is essential for understanding and predicting disease spread patterns."
Nine challenges in incorporating the dynamics of behaviour in infectious diseases models,10.1016/j.epidem.2014.09.005,,,,,,,,,,,
The causes of the emergence of infectious diseases,10.1016/S0001-4079(19)30410-8,7.0,,,no,not mentioned,2.0,"zoonotic diseases, avian influenza H5N1, SARS, MERS-CoV","United Kingdom, France","['human behavior', 'emerging infectious diseases', 'epidemiology']",[],"Yes, this paper should be included because it discusses how human behavior and mobility contribute to the spread and re-emergence of infectious diseases."
The role of routine versus random movements on the spread of disease in Great Britain,10.1016/j.epidem.2009.11.002,,,,,,,,,,,
Human Mobility Driven Modeling of an Infectious Disease,10.1109/ICDMW58026.2022.00155,9.0,,,yes,https://www.safegraph.com/covid-19-data-consortium,0.0,COVID-19,Census Block Groups (CBGs),"['human mobility', 'epidemiological model', 'COVID-19']","['SEIRD+m', 'SEIR']","Yes, this paper should be included because it provides a novel approach by incorporating human mobility into conventional epidemiological models, specifically highlighting its application in managing COVID-19. It utilizes real-world data sources and demonstrates practical implications in reducing infection rates, making it extremely relevant and valuable for discussions on human mobility's impact on infectious diseases."
TRAVEL AND THE EMERGENCE OF INFECTIOUS-DISEASES,10.3201/eid0102.950201,9.0,,,no,not mentioned,233.0,not specified,global,"['human mobility', 'emergence of infectious diseases', 'travel']",[],"Yes, this paper should be included as it significantly analyses the impact of human travel and mobility on the emergence and spread of infectious diseases globally, an essential aspect for understanding pandemic patterns and their prevention."
Livestock trade network: potential for disease transmission and implications for risk-based surveillance on the island of Mayotte,10.1038/s41598-018-29999-y,7.0,,,no,not mentioned,22.0,not specified,Mayotte,"['livestock movement', 'infectious diseases', 'risk-based surveillance']","['social network analysis', 'mathematical modelling']","Yes, this paper should be included as it explores the impact of livestock movement within a specific region on the spread of infectious diseases, which is a crucial aspect of understanding disease dynamics related to human mobility albeit indirectly through animal movements."
Evaluating Spatial Interaction Models for Regional Mobility in Sub-Saharan Africa,10.1371/journal.pcbi.1004267,,,,,,,,,,,
The Ecology of Human Mobility,10.1016/j.tree.2016.12.006,8.0,,,no,not mentioned,44.0,not specified,global,"['human mobility', 'big data', 'movement ecology']",[],"Yes, this paper should be included because it provides a comprehensive analysis of human mobility using big data, which is crucial for understanding its implications on infectious diseases and other ecological factors, even though it does not specifically focus on a particular disease."
"Introduction to the Special Issue on Understanding the Spread of COVID-19, Part 1",10.1145/3568670,,,,,,,,,,,
Use of open mobile mapping tool to assess human mobility traceability in rural offline populations with contrasting malaria dynamics,10.7717/peerj.6298,8.0,,,no,not mentioned,15.0,malaria,Peruvian Amazon,"['human mobility', 'malaria', 'GeoODK']",[],"Yes, this paper should be included because it explores the direct impact of human mobility on malaria dynamics using innovative mapping tools in a specific and challenging geographical context."
Asymptotic profile of the positive steady state for an SIS epidemic reaction-diffusion model: Effects of epidemic risk and population movement,10.1016/j.physd.2013.05.006,,,,,,,,,,,
Dispersal engendered synchronization and stability of mediated infectious diseases in the patchy environment using mean-field diffusive coupling,10.1016/j.cnsns.2023.107283,8.0,,,no,not mentioned,0.0,not specified,global,"['human mobility', 'mediated infectious diseases', 'metapopulation dynamics']",['mean field diffusive coupling'],"Yes, this paper should be included as it focuses on the impact of human and mediator mobility on disease spread, which is crucial for understanding infectious disease dynamics in the context of human mobility."
Vector movement underlies avian malaria at upper elevation in Hawaii: implications for transmission of human malaria,10.1007/s00436-013-3578-x,8.0,,,no,not mentioned,16.0,"avian malaria (Plasmodium relictum), human malaria",Island of Hawaii,"['avian malaria', 'mosquito vector', 'climate warming']",['enhanced-mosquito-movement model'],"Yes, this paper should be included because it demonstrates how changes in mosquito vector behavior affect the transmission of malaria at higher elevations, which is important for predicting future trends in human malaria transmission due to climate changes and human mobility."
Optimizing the detection of emerging infections using mobility-based spatial sampling,10.1016/j.jag.2024.103949,,,,,,,,,,,
Human mobility patterns predict divergent epidemic dynamics among cities,10.1098/rspb.2013.0763,8.0,,,no,not mentioned,81.0,not specified,Canada,"['human mobility patterns', 'epidemic dynamics', 'infectious diseases']",['individual-based model'],"Yes, this paper should be included because it provides a clear analysis of how human mobility patterns can impact infectious disease dynamics across different cities, which is central to discussions of human mobility and infectious diseases."
A study on contaminant leakage from Airborne Infection Isolation room during medical staff entry; Implementation of walking motion on hypothetical human model in CFD simulation,10.1016/j.jobe.2024.108812,8.0,,,no,not mentioned,6.0,"COVID-19, MERS",global,"['CFD simulation', 'AII rooms', 'contaminant leakage']","['CFD', 'human model with PPE']","Yes, this paper should be included as it provides detailed insights into the impact of human movements on the transmission of infectious diseases within controlled environments, using advanced simulation techniques which are directly relevant to the study of human mobility and infectious diseases."
Multinational patterns of seasonal asymmetry in human movement influence infectious disease dynamics,10.1038/s41467-017-02064-4,,,,,,,,,,,
Time-aggregated mobile phone mobility data are sufficient for modelling influenza spread: the case of Bangladesh,10.1098/rsif.2019.0809,9.0,,,no,not mentioned,16.0,influenza,Bangladesh,"['human mobility', 'influenza spread', 'spatio-temporal model']","['spatio-temporal stochastic model', 'gravity model', 'radiation model', 'approximate Bayesian computation']","Yes, this paper should be included as it provides significant insights into the role of human mobility in the spread of influenza using mobile phone data, thus addressing the core themes of human mobility and infectious diseases."
Spatial Modeling and Analysis of Human Traffic and Infectious Virus Spread in Community Networks,10.1109/EMBC46164.2021.9630798,9.0,,,no,not mentioned,0.0,not specified,university campus,"['network models', 'spatial environment', 'virus spread']",['network-based simulation model'],"Yes, this paper should be included because it features a detailed approach to simulate the spread of infectious diseases in community networks using human mobility data derived from GIS, which directly ties into the study of human mobility's impact on infectious diseases."
Coupling the circadian rhythms of population movement and the immune system in infectious disease modeling,10.1371/journal.pone.0234619,9.0,,,no,not mentioned,2.0,not specified,two medium-sized Chinese cities,"['circadian rhythms', 'human mobility', 'infectious disease modeling']",['stochastic metapopulation model'],"Yes, this paper should be included because it explores an innovative aspect of infectious disease transmission by incorporating circadian rhythms of the immune system and human mobility patterns, which is highly relevant to the field of human mobility and infectious diseases."
Power law approximations of movement network data for modeling infectious disease spread,10.1002/bimj.201200262,,,,,,,,,,,
"Using GPS Technology to Quantify Human Mobility, Dynamic Contacts and Infectious Disease Dynamics in a Resource-Poor Urban Environment",10.1371/journal.pone.0058802,9.0,,,no,not mentioned,157.0,influenza-like pathogen,"Iquitos, Peru","['human mobility', 'GPS data-loggers', 'infectious disease dynamics']",[],"Yes, this paper should be included as it provides detailed empirical data on human mobility and its impact on infectious disease transmission in a resource-poor urban setting, which is crucial for understanding and mitigating disease spread in similar contexts."
Landscape Genetics: A Toolbox for Studying Vector-Borne Diseases,10.3389/fevo.2018.00021,8.0,,,no,not mentioned,13.0,"malaria, chronic wasting disease, raccoon rabies",global,"['landscape genetics', 'vector-borne diseases', 'disease epidemiology']",['landscape genetics approach'],"Yes, this paper should be included as it contributes significantly to the understanding of the role of landscape genetics in the study of vector-borne diseases, which could influence epidemiological models concerning human mobility."
Factors influencing the international spread of equine diseases,10.1016/S0749-0739(17)30094-9,,,,,,,,,,,
The effects of human movement on the persistence of vector-borne diseases,10.1016/j.jtbi.2009.02.016,,,,,,,,,,,
Socially structured human movement shapes dengue transmission despite the diffusive effect of mosquito dispersal,10.1016/j.epidem.2013.12.003,9.0,,,no,not mentioned,99.0,dengue,northeastern Peru,"['dengue transmission', 'socially structured movement', 'mosquito dispersal']",['agent-based transmission model'],"Yes, this paper should be included because it provides a detailed study of the role social structures and human mobility play in the transmission of dengue, particularly in the context of an urban area in northeastern Peru. Its focus matches the central themes of the discussion and it utilizes sophisticated modeling techniques pertinent to the field."
Movement disorder in a patient with Human Immunodeficiency Virus on an anti-retroviral therapy: A Case Report,10.5455/JPMA.298947,1.0,,,no,not mentioned,0.0,Human Immunodeficiency Virus (HIV),not specified,"['HIV', 'neurocognitive dysfunction', 'antiretroviral therapy']",[],"No, this paper should not be included because it focuses specifically on a medical case study related to HIV and antiretroviral therapy without addressing broader issues of human mobility or infectious disease modeling."
Movements of Indian Flying Fox in Myanmar as a Guide to Human-Bat Interface Sites,10.1007/s10393-021-01544-w,7.0,,,no,not mentioned,3.0,zoonotic diseases,central Myanmar,"['zoonotic diseases', 'human-wildlife interface', 'Indian flying fox']",['clustering analysis'],"Yes, this paper should be included because it explores the mobility of bats and their role as vectors in zoonotic diseases, aiding in understanding potential human-wildlife interface sites which are crucial for disease transmission studies."
One Health in a world with climate change,10.20506/rst.33.2.2293,6.0,,,no,not mentioned,17.0,not specified,global,"['One Health', 'climate change', 'Anthropocene']",[],"No, this paper should not be included because it largely focuses on broader challenges related to One Health, climate change, and environmental matters rather than specifically on human mobility and infectious diseases."
"Moving like birds: A qualitative study of population mobility and health implications in the Bijagos Islands, Guinea Bissau",10.1016/j.socscimed.2019.03.019,8.0,,,no,not mentioned,7.0,not specified,"Bijagos Islands, Guinea Bissau","['population mobility', 'infectious disease transmission', 'public health interventions']",[],"Yes, this paper should be included as it provides detailed insights into population movements and their implications on infectious disease dynamics which is critical for developing targeted health interventions."
Drivers of disease emergence and spread: Is wildlife to blame?,10.4102/ojvr.v81i2.739,7.0,,,no,not mentioned,12.0,emerging infectious diseases (EIDs),global,"['wildlife', 'emerging infectious diseases', 'pathogen spillover']",[],"Yes, this paper should be included because it addresses the broader context of how wildlife contributes to the spread of infectious diseases affecting humans and livestock, which is an important aspect of human mobility and disease transmission."
House-to-house human movement drives dengue virus transmission,10.1073/pnas.1213349110,9.0,,,no,not mentioned,350.0,dengue,not specified,"['dengue transmission', 'human mobility', 'vector-borne disease']",['case-control design'],"Yes, this paper should be included as it provides significant contributions to understanding the role of human mobility in the transmission of a vector-borne disease, specifically dengue. It fills a crucial gap in vector control strategies and reevaluates current paradigms, directly linking to the topic of human mobility and infectious diseases."
"Measuring mobility, disease connectivity and individual risk: a review of using mobile phone data and mHealth for travel medicine",10.1093/jtm/taz019,,,,,,,,,,,
Epidemiologic Characterization of Colorado Backyard Bird Flocks,10.1637/9865-072811-Reg.1,6.0,,,no,not mentioned,20.0,zoonotic diseases,Colorado,"['backyard poultry', 'disease transmission', 'biosecurity practices']",[],"No, this paper should not be included as it primarily focuses on backyard flocks and biosecurity practices with limited emphasis and detail on human mobility's systemic role in spreading infectious diseases across larger scales."
On the role of human mobility in the spread of cholera epidemics: towards an epidemiological movement ecology,10.1002/eco.262,8.0,,,no,not mentioned,17.0,cholera,global,"['human mobility', 'cholera epidemics', 'epidemiological dynamics']","['two-layer network model', 'spatially explicit model']","Yes, this paper should be included because it explores the significant role of human mobility in the spread of cholera, employing advanced modeling techniques that can inform control strategies in real-world scenarios."
Spatial scales in human movement between reservoirs of infection,10.1016/j.jtbi.2021.110726,9.0,,,no,not mentioned,3.0,"helminth parasites, soil-transmitted helminths, schistosomes",not specified,"['human movement', 'reservoirs of infection', 'parasitic diseases']",['theoretical model'],"Yes, this paper should be included as it provides a detailed theoretical model illustrating how human movement influences parasitic disease dynamics across different spatial scales, aiding in the design and implementation of disease control measures. Despite not providing a public dataset, its theoretical contributions are valuable for discussing human mobility's role in infectious disease management."
Quantifying human-environment interactions using videography in the context of infectious disease transmission,10.4081/gh.2018.631,8.0,,,no,not mentioned,6.0,not specified,global,"['human-environment interactions', 'videography', 'disease transmission']","['Virtual Timing Device for the Personal Computer', 'LiveTrak']","Yes, this paper should be included as it offers a novel perspective on quantifying human-environment interactions which are crucial for understanding infectious disease transmission, even though it does not specify a particular disease or location."
Retrospective analysis of multi-drug resistant tuberculosis outbreak during a flight using computational fluid dynamics and infection risk assessment,10.1016/j.buildenv.2011.03.011,8.0,,,no,not mentioned,14.0,multi-drug resistant Tuberculosis (MDR-TB),air travel,"['air travel', 'MDR-TB', 'infection risk assessment']","['computational fluid dynamics', 'dose-response model', 'likelihood analysis']","Yes, this paper should be included as it provides a detailed analysis of an MDR-TB outbreak related to air travel, using advanced modeling techniques relevant to studies of human mobility and airborne infectious disease transmission."
Diseases spectrum in the field of spatiotemporal patterns mining of infectious diseases epidemics: A bibliometric and content analysis,10.3389/fpubh.2022.1089418,8.0,,,no,not mentioned,3.0,"dengue, COVID-19, influenza",global,"['spatiotemporal patterns', 'infectious diseases', 'bibliometric analysis']",['not specified'],"Yes, this paper should be included because it provides an overview of trends in infectious diseases and methods used to study them, focusing on spatiotemporal patterns and how human mobility contributes to disease transmission."
Estimating Infection-Related Human Mobility Networks Based on Time Series Data of COVID-19 Infection in Japan,10.3390/app12189236,,,,,,,,,,,
An SIS patch model with variable transmission coefficients,10.1016/j.mbs.2011.05.001,8.0,,,no,not mentioned,94.0,not specified,global,"['SIS patch model', 'transmission coefficients', 'disease equilibrium']",['SIS patch model'],"Yes, this paper should be included for discussion due to its direct examination of the impact of human movement and media coverage on the spread of infectious diseases using a modeling approach that aligns well with the study of human mobility effects."
Making a mark on the farm: the marks and traces of farm animals and infectious diseases in northern England,10.1080/14702541.2024.2343951,4.0,,,no,not mentioned,3.0,not specified,northern England,"['farm animal movements', 'disease management', 'biosecurity']",[],"No, this paper should not be included because it primarily focuses on farm animals and biosecurity measures within farm settings, which is indirectly related to human mobility and its effects on infectious diseases."
Spatial connectivity in mosquito-borne disease models: a systematic review of methods and assumptions,10.1098/rsif.2021.0096,,,,,,,,,,,
"Effect of daily periodic human movement on dengue dynamics: The case of the 2010 outbreak in Hermosillo, Mexico",10.1016/j.apm.2021.04.001,9.0,,,no,not mentioned,8.0,dengue,"Hermosillo, Mexico","['human movement', 'dengue dynamics', 'mathematical model']","['two-patch mathematical model', 'Bayesian approach']","Yes, this paper should be included because it provides a detailed analysis of how human mobility within an urban environment affects dengue transmission dynamics, utilizing a specific mathematical model and real outbreak data."
Influence of human behavior on cholera dynamics,10.1016/j.mbs.2015.06.009,8.0,,,no,not mentioned,77.0,cholera,global,"['human behavior', 'cholera dynamics', 'PDE model']","['ODE model', 'PDE model']","Yes, this paper should be included as it provides a deep analysis of how human behavior influences the spread of cholera through sophisticated modeling approaches, relevant to discussions of human mobility and infectious diseases."
An overview of wildlife husbandry and diseases in captivity,10.20506/rst.15.1.910,,,,,,,,,,,
Forecasting Zoonotic Infectious Disease Response to Climate Change: Mosquito Vectors and a Changing Environment,10.3390/vetsci6020040,8.0,,,no,not mentioned,83.0,zoonotic infectious diseases,global,"['climate change', 'zoonotic diseases', 'vector-borne diseases']","['climate models', 'epidemiological models']","Yes, this paper should be included because it elaborates on the impact of climate change on vector-borne zoonotic diseases and the need for better data and modeling infrastructure, which is crucial in the study of human mobility and infectious disease interactions."
The Impact of Human Activities on Zoonotic Infection Transmissions,10.3390/ani13101646,8.0,,,no,not mentioned,30.0,zoonotic diseases,global,"['zoonotic diseases', 'human activities', 'public health']",[],"Yes, this paper should be included as it thoroughly investigates the impact of human mobility and activities on the transmission of zoonotic diseases, making it highly relevant to the field."
Analysis of a Vector-Bias Model on Malaria Transmission,10.1007/s11538-010-9545-0,,,,,,,,,,,
Risk of Introduction of Infectious Animal Diseases for Europe Based on the Health Situation of North Africa and the Arabian Peninsula,10.3389/fvets.2019.00293,7.0,,,no,not mentioned,3.0,"avian influenza, Newcastle disease, bluetongue, epizootic haemorrhagic disease, Middle East respiratory syndrome","North Africa, Arabian Peninsula, European Union","['infectious diseases', 'risk analysis', 'vector-borne diseases']","['probabilistic formulation', 'model of vectors dispersion in wind currents']","Yes, although the paper does not focus explicitly on human mobility, it assesses the risk of disease transmission across regions which is closely related to patterns of movement. Integrating human mobility data could strengthen the conclusions and offer deeper insights, making it a useful inclusion for discussion."
Strategies for Controlling Non-Transmissible Infection Outbreaks Using a Large Human Movement Data Set,10.1371/journal.pcbi.1003809,,,,,,,,,,,
FORESIGHT INFECTIOUS DISEASES CHINA PROJECT - A NOVEL APPROACH TO ANTICIPATING FUTURE TRENDS IN RISK OF INFECTIOUS DISEASES IN CHINA: METHODOLOGY AND RESULTS FROM AN INITIAL APPLICATION,,8.0,,,no,not mentioned,1.0,"healthcare-associated infections, zoonoses, sexually transmitted infections (including HIV)",China,"['infectious diseases', 'China', 'future trends']",['model of disease drivers'],"Yes, this paper should be included as it provides insights into the effects of human mobility and other drivers on the spread of infectious diseases within China, addressing a directly relevant subject to human mobility and infectious diseases."
Measles hotspots and epidemiological connectivity,10.1017/S0950268809991385,,,,,,,,,,,
Integrating human mobility quantification into epidemics prediction for effectively assessing impact of transportation,10.1109/ISIE54533.2024.10595710,9.0,,,no,not mentioned,0.0,not specified,global,"['human mobility', 'infectious diseases', 'transportation system']",['SIR simulation model'],"Yes, this paper should be included as it specifically addresses the crucial intersection between human mobility and infectious disease transmission using a simulation model, which can contribute valuable insights to the field."
Anthropogenic Land Use Change and Infectious Diseases: A Review of the Evidence,10.1007/s10393-014-0941-z,,,,,,,,,,,
"Modeling Communicable Diseases, Human Mobility, and Epidemics: A Review",10.1002/andp.202100482,10.0,,,no,not mentioned,12.0,not specified,global,"['human mobility', 'communicable diseases', 'epidemic modeling']",['movement-interaction-return model'],"Yes, this paper should be included as it provides a comprehensive review of models that study the interplay between human mobility and the spread of infectious diseases, which is crucial for understanding epidemic propagation and preventing disease spread."
Infection Breeds Reticence: The Effects of Disease Salience on Self-Perceptions of Personality and Behavioral Avoidance Tendencies,10.1177/0956797610361706,,,,,,,,,,,
Changes in notifiable infectious disease incidence in China during the COVID-19 pandemic,10.1038/s41467-021-27292-7,8.0,,,no,not mentioned,74.0,COVID-19 and other notifiable infectious diseases,China,"['nonpharmaceutical interventions', 'infectious diseases', 'COVID-19']",['statistical modeling'],"Yes, this paper should be included because it provides a comprehensive analysis on the impact of human mobility restrictions on the transmission of a wide range of infectious diseases in a large country."
The spread of pathogens through trade in wildlife,,,,,,,,,,,,
Tick-borne infectious diseases of dogs,10.1016/S1471-4922(00)01856-0,,,,,,,,,,,
The Impact of Human Conflict on the Genetics of Mastomys natalensis and Lassa Virus in West Africa,10.1371/journal.pone.0037068,7.0,,,no,not mentioned,36.0,Lassa fever,"West Africa, Guinea, Nigeria","['zoonotic diseases', 'human mobility', 'genetic bottlenecks']",['Bayesian demographic inferences'],"Yes, this paper should be included because it discusses the impact of human mobility, primarily due to conflict and war, on the spread and genetic evolution of a zoonotic disease, which is highly relevant to understanding patterns in infectious diseases."
Novel Presentation of Parechovirus Encephalitis in Children: Two Unique Cases,10.7759/cureus.26456,,,,,,,,,,,
"Spatial and Temporal Characteristics of Pastoral Mobility in the Far North Region, Cameroon: Data Analysis and Modeling",10.1371/journal.pone.0131697,8.0,,,no,not mentioned,16.0,not specified,"Far North Region, Cameroon","['pastoral mobility', 'transhumance', 'infectious diseases transmission']",['spatial-temporal mobility (STM) model'],"Yes, this paper should be included because it provides a specific example of how human (and animal) mobility in a particular geographic area can influence the spread of infectious diseases, even though it does not specify the diseases. The use of mobility models and spatial-temporal data are highly relevant to the topic."
